2026-09-13 16:10:28,0.3563826322,384.0000000000,239.4666595458,264.9333190917,2.8733331680,494.1333312988,920.3265991210,920.3265991210,920.3265991210,33.9333343505,25.3733329772,10.4533338546,8.9806661605,1.0266668796,0.0000000000,25.2000007629,0.0000000000
2026-09-13 16:16:03,0.3564447879,384.0000000000,212.0666656494,261.5333251953,2.9013333320,476.7333374023,920.4066162109,920.4066162109,920.4066162109,34.0000000000,25.2600021362,10.3933315277,8.9519996643,1.0266668796,0.0000000000,25.2000007629,0.0000000000
2026-09-13 16:21:37,0.3565068244,384.0000000000,220.8666687011,270.3333435058,3.3759994506,463.5333251953,920.3466186523,920.3466186523,920.3466186523,34.9333343505,25.0733318328,10.5200004577,9.0466661453,1.0266668796,0.0000000000,25.2000007629,0.0000000000
2026-09-13 16:27:12,0.3564629316,384.0000000000,236.7333374023,262.2000122070,2.5379998683,450.2000122070,920.3332519531,920.3332519531,920.3332519531,34.7333335876,25.0666675567,10.4600000381,9.0013332366,1.0266668796,0.0000000000,25.2000007629,0.0000000000
2026-09-13 16:32:46,0.3577944993,384.0000000000,214.1999969482,263.6666564941,3.2106664180,429.2000122070,920.4333496093,920.4333496093,920.4333496093,33.7333335876,25.1399955749,10.1266660690,8.7846670150,1.0266668796,0.0000000000,25.2000007629,0.0000000000
2026-09-13 16:38:21,0.3577897787,947.4666748046,219.8666687011,269.3333435058,2.9113332748,348.8666687011,920.5598754882,920.5598754882,920.5598754882,34.0666656494,25.0266666412,10.1399993896,8.8039999008,1.0266668796,0.0000000000,25.1333332061,0.0000000000
2026-09-13 16:43:56,0.3581939935,11487.9335937500,206.5333404541,256.0000000000,2.6080000400,147.8000030517,920.5399780273,920.5399780273,920.5399780273,33.5999984741,24.5133361816,9.5066661834,8.4333333969,1.0266668796,0.0000000000,24.2666664123,0.0000000000
2026-09-13 16:49:30,0.3585974216,16739.3339843750,221.3999938964,271.0000000000,2.2453334331,148.1999969482,920.5332641601,920.5332641601,920.5332641601,34.3333320617,24.1333312988,9.5133333206,8.4439992904,1.0266668796,0.0000000000,24.2666664123,0.0000000000
2026-09-13 16:55:05,0.3587242603,12133.2666015625,232.2666625976,233.7333374023,2.4266667366,208.8666687011,920.6334228515,920.6334228515,920.6334228515,35.7999992370,23.9200038909,9.8333330154,8.6440000534,1.0466667413,0.0000000000,24.2666664123,0.0000000000
2026-09-13 17:00:40,0.3587605476,15021.9335937500,229.6000061035,279.0666809082,2.6059997081,183.6666717529,920.6666870117,920.6666870117,920.6666870117,36.6666679382,23.7866649627,10.0799999237,8.7986660003,1.1200000047,0.0000000000,24.2666664123,0.0000000000
